iter	Passed	Remaining
0	2	288
1	5	260
2	7	243
3	9	217
4	10	207
5	13	204
6	15	201
7	17	195
8	19	192
9	25	230
10	30	249
11	33	246
12	36	241
13	38	235
14	40	228
15	42	221
16	44	215
17	46	212
18	49	211
19	52	209
20	58	218
21	73	259
22	76	256
23	80	255
24	85	255
25	151	430
26	159	432
27	162	418
28	175	429
29	184	430
30	189	421
31	192	408
32	195	395
33	202	393
34	214	398
35	217	387
36	221	377
37	226	368
38	229	358
39	231	347
40	233	335
41	234	324
42	240	318
43	243	309
44	245	300
45	247	290
46	251	283
47	255	276
48	260	270
49	262	262
50	266	255
51	268	247
52	271	240
53	274	233
54	275	225
55	279	219
56	283	213
57	286	207
58	289	201
59	292	195
60	298	190
61	302	185
62	306	179
63	312	175
64	315	169
65	320	165
66	324	159
67	327	154
68	330	148
69	332	142
70	334	136
71	339	132
72	345	127
73	351	123
74	353	117
75	358	113
76	360	107
77	362	102
78	368	98
79	370	92
80	373	87
81	376	82
82	379	77
83	383	72
84	385	68
85	387	63
86	391	58
87	394	53
88	397	49
89	399	44
90	400	39
91	404	35
92	406	30
93	408	26
94	409	21
95	412	17
96	414	12
97	416	8
98	418	4
99	419	0
